project_url,sha,module,test,type,status,PR_link,notes
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-commons/nifi-record,org.apache.nifi.serialization.record.TestDataTypeUtils.testInferTypeWithMapNonStringKeys,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-parquet-bundle/nifi-parquet-processors,org.apache.nifi.processors.parquet.TestConvertAvroToParquet.testData,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-standard-services/nifi-hbase_1_1_2-client-service-bundle/nifi-hbase_1_1_2-client-service,org.apache.nifi.hbase.TestHBase_1_1_2_ClientService.testScan,ID,,,
https://github.com/graphhopper/graphhopper,91f1a89a0b515328109a659e445b1008d9db8769,web-api,com.graphhopper.util.InstructionListRepresentationTest.testRoundaboutJsonIntegrity,ID,,,
https://github.com/graphhopper/graphhopper,91f1a89a0b515328109a659e445b1008d9db8769,core,com.graphhopper.routing.ch.CHProfileSelectorTest.onlyEdgeBasedPresent,ID,,,
https://github.com/cerner/common-kafka,d7873514c1705575c642ed99d2fa501f9b319790,common-kafka,com.cerner.common.kafka.consumer.ProcessingKafkaConsumerTest.nextRecord_fairProcessing,ID,,,
https://github.com/espertechinc/esper,590fa9c9eb854f1420b9d337b802aca19f963cc0,regression-run,com.espertech.esper.regressionrun.suite.context.TestSuiteContext.testContextCategory,ID,Accepted,https://github.com/espertechinc/esper/pull/248,commit:https://github.com/espertechinc/esper/commit/febd574d5fb1bab9ba7e109bacbcfbee325337a1
https://github.com/apache/iotdb,25a98ee165131047cda93dc92203db2ab9aecbc8,zeppelin-interpreter,org.apache.zeppelin.iotdb.IoTDBInterpreterTest.testSelectColumnStatementWithTimeFilter,ID,Accepted,https://github.com/apache/iotdb/pull/4459,
https://github.com/apache/iotdb,25a98ee165131047cda93dc92203db2ab9aecbc8,cluster,org.apache.iotdb.cluster.log.snapshot.MetaSimpleSnapshotTest.testSerialize,ID,Accepted,https://github.com/apache/iotdb/pull/4459,
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681, A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
https://github.com/karatelabs/karate,14807dbf8d7c45f709299574222dd498b1fa5e67,karate-core,com.intuit.karate.JsonUtilsTest.testBeanConversion,ID,Accepted,https://github.com/karatelabs/karate/pull/1829,
https://github.com/Ericsson/ecchronos,5d58b0e4c922822c9df3d893fff2246d5784b11f,core,com.ericsson.bss.cassandra.ecchronos.core.repair.state.TestRepairStateImpl.testPartiallyRepaired,ID,Accepted,https://github.com/Ericsson/ecchronos/pull/294,
https://github.com/abel533/Mapper,1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5,core,tk.mybatis.mapper.annotation.IdTest.testCompositeKeys,ID,Opened,https://github.com/abel533/Mapper/pull/666,
