project_url,sha,module,test,type,status,PR_link,notes
https://github.com/streamx-co/FluentJPA,4faabd6739e53db9b98630e3e348d367c92e705f,.,co.streamx.fluent.JPA.FamilyTest.test1,ID,Accepted,https://github.com/streamx-co/FluentJPA/pull/4,
https://github.com/alibaba/testable-mock,80b0f3b8789921d46103d9af14a52e75406b92af,testable-core,com.alibaba.testable.core.tool.OmniAccessorTest.should_generate_member_index,ID,Accepted,https://github.com/alibaba/testable-mock/pull/223,
https://github.com/graphhopper/graphhopper,91f1a89a0b515328109a659e445b1008d9db8769,web-api,com.graphhopper.util.InstructionListRepresentationTest.testRoundaboutJsonNaN,ID,Rejected,https://github.com/graphhopper/graphhopper/pull/1873,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-standard-services/nifi-record-serialization-services-bundle/nifi-record-serialization-services,org.apache.nifi.xml.TestXMLReader.testAttributePrefix,ID,Accepted,https://github.com/apache/nifi/pull/6709,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-scripting-bundle/nifi-scripting-processors,org.apache.nifi.processors.script.TestScriptedPartitionRecord.testWhenMultiplePartitions,ID,Accepted,https://github.com/apache/nifi/pull/6709,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-standard-bundle/nifi-standard-processors,org.apache.nifi.processors.standard.QueryDatabaseTableRecordTest.testAddedRowsTwoTables,ID,Accepted,https://github.com/apache/nifi/pull/6709,
https://github.com/wildfly/jboss-ejb-client,21ba139c3d49b0d5231372f80511e7f732414ca9,.,org.jboss.ejb.client.test.byteman.MixedModeServiceURLTestCase.testInvocationOnMixedModeCluster,ID,Accepted,https://github.com/wildfly/jboss-ejb-client/pull/534,
https://github.com/flowable/flowable-engine,399ab58c5c29b2437c56f5418d8610bc3fb3381d,modules/flowable-cmmn-engine-configurator,org.flowable.cmmn.test.ProcessTaskTest.testExitAvailableProcessTaskThroughExitSentryOnStage,ID,Accepted,https://github.com/flowable/flowable-engine/pull/2204,
https://github.com/orbit/orbit,c4904af2f3745fea93871493edd7e09348e77768,actors/json,cloud.orbit.actors.extensions.json.JsonSerializerTest.test,ID,Deleted,,
https://github.com/spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-autoconfigure,org.springframework.boot.autoconfigure.gson.GsonAutoConfigurationTests.customGsonBuilder,ID,InspiredAFix,https://github.com/spring-projects/spring-boot/pull/30514,
